,Unnamed: 0,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,LAST UPDATE,DATES
990,86,65,dublin,CONVENTION CENTRE,Convention Centre,"{'lat': 53.34744, 'lng': -6.238523}",True,False,40,39,1,OPEN,1670678963000,2022-12-10 13:29:23
991,87,15,dublin,HARDWICKE STREET,Hardwicke Street,"{'lat': 53.355473, 'lng': -6.264423}",False,False,16,11,5,OPEN,1670679340000,2022-12-10 13:35:40
992,88,86,dublin,PARKGATE STREET,Parkgate Street,"{'lat': 53.347972, 'lng': -6.291804}",False,False,38,12,26,OPEN,1670679520000,2022-12-10 13:38:40
993,89,35,dublin,SMITHFIELD,Smithfield,"{'lat': 53.347692, 'lng': -6.278214}",False,False,30,21,7,OPEN,1670679094000,2022-12-10 13:31:34
994,90,10,dublin,DAME STREET,Dame Street,"{'lat': 53.344007, 'lng': -6.266802}",True,False,16,0,16,OPEN,1670679169000,2022-12-10 13:32:49
995,91,100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),"{'lat': 53.347106, 'lng': -6.292041}",False,False,25,0,25,OPEN,1670679393000,2022-12-10 13:36:33
996,92,24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,"{'lat': 53.352149, 'lng': -6.260533}",False,False,20,2,18,OPEN,1670679127000,2022-12-10 13:32:07
997,93,64,dublin,SANDWITH STREET,Sandwith Street,"{'lat': 53.345203, 'lng': -6.247163}",False,False,40,35,5,OPEN,1670679432000,2022-12-10 13:37:12
998,94,109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,"{'lat': 53.353331, 'lng': -6.249319}",False,False,29,26,3,OPEN,1670679483000,2022-12-10 13:38:03
999,95,85,dublin,ROTHE ABBEY,Rothe Abbey,"{'lat': 53.338776, 'lng': -6.30395}",False,False,35,16,19,OPEN,1670679320000,2022-12-10 13:35:20
1000,96,107,dublin,CHARLEVILLE ROAD,Charleville Road,"{'lat': 53.359157, 'lng': -6.281866}",False,False,40,26,14,OPEN,1670679236000,2022-12-10 13:33:56
1001,97,33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,"{'lat': 53.349013, 'lng': -6.260311}",True,False,23,10,13,OPEN,1670679506000,2022-12-10 13:38:26
1002,98,44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,"{'lat': 53.358437, 'lng': -6.260641}",False,False,30,24,6,OPEN,1670679447000,2022-12-10 13:37:27
1003,99,89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,"{'lat': 53.335211, 'lng': -6.2509}",False,False,40,39,1,OPEN,1670679367000,2022-12-10 13:36:07
1004,100,57,dublin,GRATTAN STREET,Grattan Street,"{'lat': 53.339629, 'lng': -6.243778}",False,False,23,6,17,OPEN,1670679433000,2022-12-10 13:37:13
